(0,44.8000,32.2665)
(1,69.5558,44.9047)
(2,70.9230,45.8921)
(3,50.4953,32.1164)
(4,71.2401,51.8382)
(5,72.0116,51.5485)
(6,73.2282,54.8351)
(7,71.6012,49.8324)
(8,58.7683,33.6595)
(9,58.6294,33.9372)
(10,68.9548,48.9963)
(11,65.6301,46.6389)
(12,67.6172,47.4835)
(13,61.3794,45.2442)
(14,62.3929,44.9955)
(15,58.5608,39.0550)
(16,59.6193,46.2626)
(17,63.2560,46.2646)
(18,70.8116,52.1953)
(19,70.1537,52.4089)
(20,65.6716,42.1210)
(21,68.4945,48.3336)
(22,71.1721,51.5964)
(23,69.2754,49.6269)
(24,65.6438,43.4439)
(25,68.7153,44.4053)
(26,65.6438,44.0832)
(27,70.1281,45.4119)
(28,71.2929,47.5709)
(29,72.5785,47.1903)
(30,70.5403,45.1237)
(31,64.7059,38.3134)
(32,68.4548,40.0834)
(33,65.8482,45.4915)
(34,67.0522,46.0971)
(35,66.3779,47.1775)
(36,64.7406,46.2680)
(37,62.1609,45.4183)
(38,63.3444,45.5737)
(39,62.3292,46.5235)
(40,62.3349,43.7012)
(41,51.1025,24.0762)
(42,6.8014,9.5102)
(43,9.7210,8.9878)
(44,10.6043,9.3294)
(45,11.8209,8.6549)
(46,15.2722,9.9067)
(47,71.3736,53.9704)
(48,72.6022,57.3120)
(49,69.8640,53.1352)
(50,71.4166,51.4505)
(51,45.5571,34.9567)
(52,81.2372,69.2477)
(53,45.2973,33.4136)
(54,74.5952,66.0487)
(55,62.1891,42.5189)
(56,75.2848,64.6830)
(57,71.7711,56.3316)
(58,78.6593,65.0170)
(59,81.6993,74.1819)
(60,85.1172,72.3515)
(61,79.3215,61.9907)
(62,77.8659,53.6873)
(63,77.7361,50.6716)
(64,84.5780,70.8558)
(65,68.5371,37.3469)
(66,84.4248,73.6386)
(67,83.0868,72.3533)
(68,87.4840,82.0034)
(69,86.5842,72.3948)
(70,87.7884,74.4956)
(71,87.6490,71.8101)
(72,87.6052,73.2485)
(73,88.4016,73.1110)
(74,86.9642,68.2063)
(75,83.0123,62.5960)
(76,93.7822,88.9896)
(77,92.7239,86.5109)
(78,94.0142,88.6502)
(79,93.4482,81.9688)
(80,95.7223,90.6755)
(81,96.6642,92.4797)
(82,96.6708,93.1708)
(83,97.7281,93.9186)
(84,96.4858,93.2195)
(85,84.9475,72.1695)
(86,55.7931,38.8281)
(87,76.2024,68.6069)
(88,72.7059,65.4100)
(89,72.2588,65.5344)
(90,72.8377,64.5130)
(91,72.3339,63.1509)
(92,70.2215,59.3347)
(93,72.1570,65.8901)
(94,73.8333,64.9736)
(95,72.1958,68.7513)
(96,73.4455,71.3862)
(97,73.0733,70.2528)
(98,73.2521,69.7956)
(99,50.7773,29.1404)
(100,74.1609,71.6617)
(101,79.6722,66.8975)
(102,79.8251,67.9395)
(103,72.0815,65.2095)
(104,72.3366,65.6447)
(105,71.2159,62.0522)
(106,71.7316,65.2769)
(107,72.2601,67.0732)
(108,73.3063,69.1505)
(109,66.4084,51.9220)
(110,70.0812,61.2916)
(111,70.5552,57.0311)
(112,87.6139,74.1266)
(113,88.9472,78.5222)
(114,87.5576,76.0139)
(115,87.8709,76.0007)
(116,85.8324,72.6911)
(117,87.2930,74.7669)
(118,86.5613,74.2240)
(119,88.3114,75.5052)
(120,87.9575,73.7638)
(121,88.4230,74.8504)
(122,87.3257,73.2733)
(123,86.5151,72.1994)
(124,87.0065,72.8854)
(125,86.1921,71.2868)
(126,85.7942,70.8090)
(127,84.6431,67.8522)
(128,84.1775,67.9174)
(129,85.7449,70.8251)
(130,85.0287,68.8312)
(131,85.6751,68.5808)
(132,84.0716,66.7559)
(133,84.5759,67.4670)
(134,82.7603,65.2718)
(135,83.0968,65.9784)
(136,84.3271,67.9789)
(137,84.4076,68.5578)
(138,83.7343,67.6842)
(139,82.9307,66.2201)
(140,80.3701,63.1995)
(141,80.6357,62.5933)
(142,81.0937,64.6081)
(143,87.6762,74.1522)
(144,89.4807,78.5347)
(145,90.6297,81.8080)
(146,90.9091,81.8479)
(147,89.8723,80.8659)
(148,89.4424,79.4761)
(149,88.1215,77.4940)
(150,88.7832,77.5981)
(151,85.8961,71.8287)
(152,90.3672,80.1742)
(153,89.7384,78.6113)
(154,86.4007,76.2070)
(155,87.7057,78.1058)
(156,87.9401,79.8950)
(157,85.9626,75.5148)
(158,85.3619,74.2755)
(159,86.5141,75.7897)
(160,86.4701,75.8125)
(161,87.7988,76.8892)
(162,89.3126,80.6926)
(163,84.9559,74.7011)
(164,90.9853,82.6580)
(165,86.5103,72.7117)
(166,87.0548,73.2377)
(167,89.8400,78.5028)
(168,90.4691,81.4382)
(169,88.8572,78.5714)
(170,89.9285,81.0806)
(171,91.8131,83.7853)
(172,91.6667,84.7990)
(173,89.3082,79.9275)
(174,90.2390,81.2397)
(175,88.7617,79.1948)
(176,87.5181,77.0564)
(177,88.8703,81.2763)
(178,87.7017,79.0189)
(179,88.7825,79.7336)
(180,88.3132,79.4789)
(181,87.8856,77.5201)
(182,87.5580,75.1434)
(183,84.9843,71.3933)
(184,83.0592,68.2299)
(185,87.2707,74.4534)
(186,88.3849,78.6349)
(187,90.1685,81.2156)
(188,89.7773,79.4733)
(189,86.5871,74.8610)
(190,89.6214,80.4626)
(191,87.0776,75.1143)
(192,87.8246,76.6673)
(193,85.2891,70.3021)
(194,83.0336,69.8553)
(195,83.1760,70.5501)
(196,87.2146,75.2096)
(197,84.7246,71.7443)
(198,83.1987,69.3713)
(199,85.2050,71.7984)
(200,84.2689,70.7372)
(201,84.7734,71.8545)
(202,87.3042,76.9003)
(203,86.3669,73.0249)
(204,82.9097,67.5638)
(205,83.4909,68.4954)
(206,82.7229,66.2284)
(207,82.4960,66.8258)
(208,83.8181,68.5714)
(209,81.3205,64.8237)
(210,75.7757,59.3521)
(211,77.7146,60.2545)
(212,74.5461,56.9874)
(213,80.1691,62.8510)
(214,79.3900,60.0633)
(215,75.9279,58.3076)
(216,73.7456,52.8744)
(217,77.3995,58.6068)
(218,84.2138,68.7926)
(219,74.8625,55.6401)
(220,72.8912,51.0929)
(221,72.3262,50.5252)
(222,71.9793,51.3071)
(223,73.9743,53.2001)
(224,78.9665,60.3482)
(225,81.2102,64.2200)
(226,77.1703,57.0638)
(227,74.1530,52.7980)
(228,73.0493,46.8092)
(229,76.7888,54.1416)
(230,74.4609,54.4458)
(231,76.8270,59.0076)
(232,75.4996,56.3597)
(233,74.2827,53.8781)
(234,74.1880,54.2676)
(235,75.0713,54.7996)
(236,74.8181,54.7564)
(237,76.6512,56.0937)
(238,77.7614,57.4231)
(239,74.7859,54.5553)
(240,73.3122,52.5037)
(241,72.3396,52.7224)
(242,71.3371,52.0763)
(243,70.9719,52.2071)
(244,71.9366,50.2447)
(245,76.2248,56.3111)
(246,70.8174,49.8864)
(247,74.5273,55.8110)
(248,73.1797,53.4249)
(249,74.0482,55.3827)
(250,75.2506,56.7014)
(251,74.4567,53.8404)
(252,75.0025,56.8042)
(253,73.5787,54.4550)
(254,68.8971,46.9136)
(255,67.3112,44.3302)
(256,67.7937,45.0334)
(257,66.8545,43.6280)
(258,67.8699,45.4176)
(259,67.6214,45.6138)
(260,70.5640,50.1413)
(261,71.1305,51.5462)
(262,73.4417,55.1392)
(263,71.8347,53.4974)
(264,71.8074,54.6396)
(265,78.7327,64.2496)
(266,73.8395,55.9675)
(267,67.9052,45.3814)
(268,69.8655,48.4550)
(269,32.7516,25.4658)
(270,35.8376,25.0457)
(271,32.0993,23.5167)
(272,34.6234,24.8142)
(273,31.7172,28.8457)
(274,32.5138,29.9672)
(275,31.9517,24.5643)
(276,34.0034,27.9517)
(277,35.2108,30.7823)
(278,34.7376,28.3389)
(279,35.6873,31.0578)
(280,34.2226,31.9268)
(281,35.6487,32.2834)
(282,38.5720,30.6693)
(283,38.0588,31.7568)
(284,36.8615,30.0272)
(285,34.3354,29.6409)
(286,33.9758,29.8743)
(287,33.9288,27.0395)
(288,34.9342,25.4641)
(289,37.0657,26.1365)
(290,36.9299,27.3565)
(291,33.6121,27.8821)
(292,35.4989,25.7524)
(293,32.3913,25.2193)
(294,32.3875,24.9310)
(295,34.5800,25.9544)
(296,34.1875,27.4806)
(297,33.0478,22.7536)
(298,30.5443,23.3928)
(299,29.9639,21.9648)
(300,29.1938,21.2275)
(301,28.0890,20.1306)
(302,27.5651,22.8470)
(303,23.0347,18.7348)
(304,23.9848,16.9962)
(305,26.0722,19.7708)
(306,26.4148,22.7493)
(307,23.8364,23.9610)
(308,23.7671,12.5619)
(309,21.2978,4.4126)
(310,20.8208,5.9292)
(311,19.3191,6.7331)
(312,20.6384,6.4139)
(313,19.7130,4.0180)
(314,19.4847,3.1352)
(315,21.3598,4.3568)
(316,23.7464,4.8978)
(317,11.1975,8.8982)
(318,14.8547,10.2576)
(319,18.4027,3.6353)
(320,20.6492,0.0000)
(321,22.0882,1.8210)
(322,23.4365,0.3466)
(323,22.6225,1.9819)
(324,23.6044,0.6830)
(325,24.6172,0.0912)
(326,23.6794,0.0000)
(327,24.3392,0.5701)
(328,24.9672,0.0000)
(329,29.3031,0.7076)
(330,29.2707,2.0091)
(331,26.5708,1.6209)
(332,27.0604,0.7300)
(333,28.4883,0.0787)
(334,30.7587,0.9550)
(335,29.0907,3.1836)
(336,29.2991,1.5371)
(337,28.5010,0.9894)
(338,26.6652,1.1860)
(339,25.0143,0.9425)
(340,24.2106,2.7038)
(341,24.9736,2.9324)
(342,23.9726,4.5869)
(343,23.2196,7.8243)
(344,26.8031,4.0306)
(345,28.0409,5.9136)
(346,26.2908,6.6095)
(347,25.7402,6.1314)
(348,27.0802,6.2445)
(349,26.1980,7.4465)
(350,28.3601,9.1301)
(351,17.8761,12.8471)
(352,22.6825,10.6875)
(353,21.8406,6.3122)
(354,19.8054,10.5786)
(355,22.1243,10.1638)
