Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
8,lossy,128,2097152,278342,1818810,7.53444323889316,16384.0,2174.546875,14209.453125,0
8,lossy,128,2097152,278140,1819012,7.53991515064356,16384.0,2172.96875,14211.03125,0
8,lossy,128,2097152,287626,1809526,7.291246271199404,16384.0,2247.078125,14136.921875,0
8,lossy,128,2097152,285386,1811766,7.348475398232569,16384.0,2229.578125,14154.421875,0
8,lossy,128,2097152,284642,1812510,7.367682913976153,16384.0,2223.765625,14160.234375,0
8,lossy,128,2097152,283505,1813647,7.397231089398776,16384.0,2214.8828125,14169.1171875,0
8,lossy,128,2097152,285202,1811950,7.353216316856123,16384.0,2228.140625,14155.859375,0
8,lossy,128,2097152,281087,1816065,7.460864429874025,16384.0,2195.9921875,14188.0078125,0
8,lossy,128,2097152,275633,1821519,7.608493903124807,16384.0,2153.3828125,14230.6171875,0
8,lossy,128,2097152,279708,1817444,7.497647546727301,16384.0,2185.21875,14198.78125,0
8,lossy,128,2097152,283786,1813366,7.389906478825594,16384.0,2217.078125,14166.921875,0
8,lossy,128,2097152,293199,1803953,7.152657410154878,16384.0,2290.6171875,14093.3828125,0
8,lossy,128,2097152,286731,1810421,7.31400511280608,16384.0,2240.0859375,14143.9140625,0
8,lossy,128,2097152,280768,1816384,7.46934123546843,16384.0,2193.5,14190.5,0
8,lossy,128,2097152,280713,1816439,7.470804700886671,16384.0,2193.0703125,14190.9296875,0
8,lossy,128,2097152,283409,1813743,7.399736776178597,16384.0,2214.1328125,14169.8671875,0
8,lossy,128,2097152,279045,1818107,7.515461663889337,16384.0,2180.0390625,14203.9609375,0
8,lossy,128,2097152,265277,1831875,7.9055176287427855,16384.0,2072.4765625,14311.5234375,0
8,lossy,128,2097152,256723,1840429,8.168929157107076,16384.0,2005.6484375,14378.3515625,0
8,lossy,128,2097152,257698,1839454,8.138022025782117,16384.0,2013.265625,14370.734375,0
8,lossy,128,2097152,251467,1845685,8.33967081167708,16384.0,1964.5859375,14419.4140625,0
8,lossy,128,2097152,252638,1844514,8.30101568251807,16384.0,1973.734375,14410.265625,0
8,lossy,128,2097152,253133,1844019,8.284783098213193,16384.0,1977.6015625,14406.3984375,0
8,lossy,128,2097152,247038,1850114,8.489187898218088,16384.0,1929.984375,14454.015625,0
8,lossy,128,2097152,242734,1854418,8.63971260721613,16384.0,1896.359375,14487.640625,0
8,lossy,128,2097152,243002,1854150,8.630184113710998,16384.0,1898.453125,14485.546875,0
8,lossy,128,2097152,246387,1850765,8.511617901918527,16384.0,1924.8984375,14459.1015625,0
8,lossy,128,2097152,255098,1842054,8.220966060102391,16384.0,1992.953125,14391.046875,0
8,lossy,128,2097152,250932,1846220,8.357451421102132,16384.0,1960.40625,14423.59375,0
8,lossy,128,2097152,260832,1836320,8.040240461293093,16384.0,2037.75,14346.25,0
8,lossy,128,2097152,261712,1835440,8.013205355505288,16384.0,2044.625,14339.375,0
8,lossy,128,2097152,255460,1841692,8.209316527049245,16384.0,1995.78125,14388.21875,0
8,lossy,128,2097152,260068,1837084,8.063860221172924,16384.0,2031.78125,14352.21875,0
8,lossy,128,2097152,264067,1833085,7.941742057886824,16384.0,2063.0234375,14320.9765625,0
8,lossy,128,2097152,267813,1829339,7.8306579590983265,16384.0,2092.2890625,14291.7109375,0
8,lossy,128,2097152,268206,1828946,7.819183761735382,16384.0,2095.359375,14288.640625,0
8,lossy,128,2097152,271919,1825233,7.712414358687697,16384.0,2124.3671875,14259.6328125,0
8,lossy,128,2097152,275215,1821937,7.620049779263485,16384.0,2150.1171875,14233.8828125,0
8,lossy,128,2097152,274461,1822691,7.640983600584418,16384.0,2144.2265625,14239.7734375,0
8,lossy,128,2097152,278932,1818220,7.518506302611389,16384.0,2179.15625,14204.84375,0
8,lossy,128,2097152,261096,1836056,8.032110794497044,16384.0,2039.8125,14344.1875,0
8,lossy,128,2097152,261702,1835450,8.013511551306447,16384.0,2044.546875,14339.453125,0
8,lossy,128,2097152,264439,1832713,7.930569999130234,16384.0,2065.9296875,14318.0703125,0
8,lossy,128,2097152,254764,1842388,8.231743888461478,16384.0,1990.34375,14393.65625,0
8,lossy,128,2097152,251905,1845247,8.325170203052737,16384.0,1968.0078125,14415.9921875,0
8,lossy,128,2097152,253136,1844016,8.284684912458125,16384.0,1977.625,14406.375,0
8,lossy,128,2097152,248356,1848796,8.444136642561483,16384.0,1940.28125,14443.71875,0
8,lossy,128,2097152,254672,1842480,8.234717597537225,16384.0,1989.625,14394.375,0
8,lossy,128,2097152,264654,1832498,7.924127351183054,16384.0,2067.609375,14316.390625,0
8,lossy,128,2097152,277276,1819876,7.563409743360406,16384.0,2166.21875,14217.78125,0
8,lossy,128,2097152,279825,1817327,7.494512641829715,16384.0,2186.1328125,14197.8671875,0
8,lossy,128,2097152,276554,1820598,7.583155550091483,16384.0,2160.578125,14223.421875,0
8,lossy,128,2097152,269384,1827768,7.784990942297983,16384.0,2104.5625,14279.4375,0
8,lossy,128,2097152,269174,1827978,7.79106451588935,16384.0,2102.921875,14281.078125,0
8,lossy,128,2097152,272692,1824460,7.6905519780558285,16384.0,2130.40625,14253.59375,0
8,lossy,128,2097152,273098,1824054,7.679118851108393,16384.0,2133.578125,14250.421875,0
8,lossy,128,2097152,279324,1817828,7.507954919734789,16384.0,2182.21875,14201.78125,0
8,lossy,128,2097152,277127,1820025,7.567476283436836,16384.0,2165.0546875,14218.9453125,0
8,lossy,128,2097152,278451,1818701,7.531493871453146,16384.0,2175.3984375,14208.6015625,0
8,lossy,128,2097152,280105,1817047,7.487020938576605,16384.0,2188.3203125,14195.6796875,0
8,lossy,128,2097152,280603,1816549,7.473733352815187,16384.0,2192.2109375,14191.7890625,0
8,lossy,128,2097152,276242,1820910,7.5917203032124005,16384.0,2158.140625,14225.859375,0
8,lossy,128,2097152,274023,1823129,7.653196994412878,16384.0,2140.8046875,14243.1953125,0
8,lossy,128,2097152,274831,1822321,7.630696682688634,16384.0,2147.1171875,14236.8828125,0
8,lossy,128,2097152,273107,1824045,7.678865792528203,16384.0,2133.6484375,14250.3515625,0
8,lossy,128,2097152,275976,1821176,7.599037597472244,16384.0,2156.0625,14227.9375,0
8,lossy,128,2097152,279133,1818019,7.51309232516399,16384.0,2180.7265625,14203.2734375,0
8,lossy,128,2097152,278203,1818949,7.538207711635029,16384.0,2173.4609375,14210.5390625,0
8,lossy,128,2097152,284653,1812499,7.367398200616189,16384.0,2223.8515625,14160.1484375,0
8,lossy,128,2097152,287823,1809329,7.286255789148192,16384.0,2248.6171875,14135.3828125,0
8,lossy,128,2097152,287068,1810084,7.305418925132721,16384.0,2242.71875,14141.28125,0
8,lossy,128,2097152,286700,1810452,7.314795953958842,16384.0,2239.84375,14144.15625,0
8,lossy,128,2097152,290883,1806269,7.209606611592977,16384.0,2272.5234375,14111.4765625,0
8,lossy,128,2097152,289505,1807647,7.243923248303138,16384.0,2261.7578125,14122.2421875,0
8,lossy,128,2097152,286102,1811050,7.33008507455383,16384.0,2235.171875,14148.828125,0
8,lossy,128,2097152,288939,1808213,7.258113304192235,16384.0,2257.3359375,14126.6640625,0
8,lossy,128,2097152,286555,1810597,7.3184973216311,16384.0,2238.7109375,14145.2890625,0
8,lossy,128,2097152,285281,1811871,7.3511800645679175,16384.0,2228.7578125,14155.2421875,0
8,lossy,128,2097152,285170,1811982,7.3540414489602695,16384.0,2227.890625,14156.109375,0
8,lossy,128,2097152,286233,1810919,7.32673032110204,16384.0,2236.1953125,14147.8046875,0
8,lossy,128,2097152,290834,1806318,7.210821293246319,16384.0,2272.140625,14111.859375,0
8,lossy,128,2097152,289820,1807332,7.236049962045407,16384.0,2264.21875,14119.78125,0
8,lossy,128,2097152,289138,1808014,7.253117888343974,16384.0,2258.890625,14125.109375,0
8,lossy,128,2097152,294106,1803046,7.130599171727201,16384.0,2297.703125,14086.296875,0
8,lossy,128,2097152,287439,1809713,7.295989757826878,16384.0,2245.6171875,14138.3828125,0
8,lossy,128,2097152,283508,1813644,7.39715281402994,16384.0,2214.90625,14169.09375,0
8,lossy,128,2097152,263509,1833643,7.958559290195022,16384.0,2058.6640625,14325.3359375,0
8,lossy,128,2097152,252266,1844886,8.313256641798736,16384.0,1970.828125,14413.171875,0
8,lossy,128,2097152,259945,1837207,8.067675854507684,16384.0,2030.8203125,14353.1796875,0
8,lossy,128,2097152,248809,1848343,8.428762625146197,16384.0,1943.8203125,14440.1796875,0
8,lossy,128,2097152,250763,1846389,8.363083868034758,16384.0,1959.0859375,14424.9140625,0
8,lossy,128,2097152,256667,1840485,8.170711466608484,16384.0,2005.2109375,14378.7890625,0
8,lossy,128,2097152,252878,1844274,8.293137402225579,16384.0,1975.609375,14408.390625,0
8,lossy,128,2097152,246516,1850636,8.507163835207452,16384.0,1925.90625,14458.09375,0
8,lossy,128,2097152,251647,1845505,8.333705547850759,16384.0,1965.9921875,14418.0078125,0
8,lossy,128,2097152,240553,1856599,8.718045503485719,16384.0,1879.3203125,14504.6796875,0
8,lossy,128,2097152,227973,1869179,9.19912445772087,16384.0,1781.0390625,14602.9609375,0
8,lossy,128,2097152,229701,1867451,9.129921071305741,16384.0,1794.5390625,14589.4609375,0
8,lossy,128,2097152,223842,1873310,9.368894130681463,16384.0,1748.765625,14635.234375,0
8,lossy,128,2097152,230088,1867064,9.114564862139703,16384.0,1797.5625,14586.4375,0
8,lossy,128,2097152,231139,1866013,9.073120503246964,16384.0,1805.7734375,14578.2265625,0
8,lossy,128,2097152,237698,1859454,8.82275828993092,16384.0,1857.015625,14526.984375,0
8,lossy,128,2097152,239400,1857752,8.760033416875523,16384.0,1870.3125,14513.6875,0
8,lossy,128,2097152,238045,1859107,8.809897288327837,16384.0,1859.7265625,14524.2734375,0
8,lossy,128,2097152,237522,1859630,8.829295812598412,16384.0,1855.640625,14528.359375,0
8,lossy,128,2097152,241746,1855406,8.675022544323381,16384.0,1888.640625,14495.359375,0
8,lossy,128,2097152,232990,1864162,9.001038671187604,16384.0,1820.234375,14563.765625,0
8,lossy,128,2097152,227336,1869816,9.224900587676391,16384.0,1776.0625,14607.9375,0
8,lossy,128,2097152,232314,1864838,9.027230386459705,16384.0,1814.953125,14569.046875,0
8,lossy,128,2097152,232020,1865132,9.038669080251703,16384.0,1812.65625,14571.34375,0
8,lossy,128,2097152,234094,1863058,8.958589284646338,16384.0,1828.859375,14555.140625,0
8,lossy,128,2097152,226208,1870944,9.270901117555525,16384.0,1767.25,14616.75,0
8,lossy,128,1572864,251134,1321730,6.263046819626176,12288.0,1961.984375,10326.015625,0
8,lossy,128,1572864,256738,1316126,6.126338913600636,12288.0,2005.765625,10282.234375,0
8,lossy,128,1572864,259124,1313740,6.069927910961547,12288.0,2024.40625,10263.59375,0
8,lossy,128,1572864,254328,1318536,6.184391809002548,12288.0,1986.9375,10301.0625,0
8,lossy,128,1572864,246327,1326537,6.385268362786053,12288.0,1924.4296875,10363.5703125,0
8,lossy,128,1572864,248071,1324793,6.340378359421295,12288.0,1938.0546875,10349.9453125,0
8,lossy,128,1572864,257759,1315105,6.102072090596255,12288.0,2013.7421875,10274.2578125,0
8,lossy,128,1572864,255396,1317468,6.158530282385002,12288.0,1995.28125,10292.71875,0
8,lossy,128,1572864,262889,1309975,5.982996625952398,12288.0,2053.8203125,10234.1796875,0
8,lossy,128,1572864,260790,1312074,6.0311515012078685,12288.0,2037.421875,10250.578125,0
8,lossy,128,1572864,256777,1316087,6.125408428324967,12288.0,2006.0703125,10281.9296875,0
8,lossy,128,1572864,264133,1308731,5.954818216580283,12288.0,2063.5390625,10224.4609375,0
8,lossy,128,1572864,270239,1302625,5.820270205262749,12288.0,2111.2421875,10176.7578125,0
8,lossy,128,1572864,261207,1311657,6.021523159792808,12288.0,2040.6796875,10247.3203125,0
8,lossy,128,1572864,264652,1308212,5.943140425917809,12288.0,2067.59375,10220.40625,0
8,lossy,128,1572864,263701,1309163,5.964573513183492,12288.0,2060.1640625,10227.8359375,0
8,lossy,128,1572864,265815,1307049,5.9171378590373,12288.0,2076.6796875,10211.3203125,0
8,lossy,128,1572864,263157,1309707,5.976903521471973,12288.0,2055.9140625,10232.0859375,0
8,lossy,128,1572864,262506,1310358,5.991725903407922,12288.0,2050.828125,10237.171875,0
8,lossy,128,1572864,258808,1314056,6.077339185805694,12288.0,2021.9375,10266.0625,0
8,lossy,128,1572864,261526,1311338,6.014178322614195,12288.0,2043.171875,10244.828125,0
8,lossy,128,1572864,264375,1308489,5.949367375886525,12288.0,2065.4296875,10222.5703125,0
8,lossy,128,1572864,261764,1311100,6.008710135847557,12288.0,2045.03125,10242.96875,0
8,lossy,128,1572864,261357,1311507,6.018067241359519,12288.0,2041.8515625,10246.1484375,0
8,lossy,128,1572864,259448,1313416,6.062347753692455,12288.0,2026.9375,10261.0625,0
8,lossy,128,1572864,249925,1322939,6.293344003200961,12288.0,1952.5390625,10335.4609375,0
8,lossy,128,1572864,254022,1318842,6.191841651510499,12288.0,1984.546875,10303.453125,0
8,lossy,128,1572864,250244,1322620,6.2853215261904385,12288.0,1955.03125,10332.96875,0
8,lossy,128,1572864,244584,1328280,6.430772250024531,12288.0,1910.8125,10377.1875,0
8,lossy,128,1572864,244520,1328344,6.432455422869295,12288.0,1910.3125,10377.6875,0
8,lossy,128,1572864,245512,1327352,6.406464857114927,12288.0,1918.0625,10369.9375,0
8,lossy,128,1572864,248215,1324649,6.336700038273271,12288.0,1939.1796875,10348.8203125,0
