Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
8,lossy,4,2097152,83494,2013658,25.117397657316694,524288.0,20873.5,503414.5,0
8,lossy,4,262144,14120,248024,18.565439093484418,65536.0,3530.0,62006.0,0
8,lossy,4,393216,23680,369536,16.605405405405406,98304.0,5920.0,92384.0,0
8,lossy,4,409600,27889,381711,14.686794076517623,102400.0,6972.25,95427.75,0
8,lossy,4,409600,22953,386647,17.84516185248116,102400.0,5738.25,96661.75,0
8,lossy,4,262144,12843,249301,20.411430351164057,65536.0,3210.75,62325.25,0
8,lossy,4,180224,11293,168931,15.958912600726114,45056.0,2823.25,42232.75,0
8,lossy,4,81920,5493,76427,14.9135263062079,20480.0,1373.25,19106.75,0
8,lossy,4,81920,5611,76309,14.599893067189448,20480.0,1402.75,19077.25,0
8,lossy,4,49152,4610,44542,10.662039045553145,12288.0,1152.5,11135.5,0
8,lossy,4,81920,6581,75339,12.447956237653852,20480.0,1645.25,18834.75,0
8,lossy,4,81920,6597,75323,12.417765651053509,20480.0,1649.25,18830.75,0
8,lossy,4,180224,12482,167742,14.438711744912673,45056.0,3120.5,41935.5,0
8,lossy,4,131072,10317,120755,12.70446835320345,32768.0,2579.25,30188.75,0
8,lossy,4,262144,18861,243283,13.898732834950426,65536.0,4715.25,60820.75,0
8,lossy,4,131072,11254,119818,11.646703394348677,32768.0,2813.5,29954.5,0
8,lossy,4,409600,29512,380088,13.879100027107617,102400.0,7378.0,95022.0,0
8,lossy,4,409600,28724,380876,14.259852388246763,102400.0,7181.0,95219.0,0
8,lossy,4,393216,27313,365903,14.396660930692343,98304.0,6828.25,91475.75,0
8,lossy,4,475136,34868,440268,13.626706435700356,118784.0,8717.0,110067.0,0
8,lossy,4,49152,4933,44219,9.9639164808433,12288.0,1233.25,11054.75,0
8,lossy,4,65536,5814,59722,11.272101823185414,16384.0,1453.5,14930.5,0
8,lossy,4,98304,8451,89853,11.632232871849485,24576.0,2112.75,22463.25,0
