Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
32,lossy,4,2097152,50563,2046589,41.47602001463521,524288.0,12640.75,511647.25,0
32,lossy,4,393216,12445,380771,31.596303736440337,98304.0,3111.25,95192.75,0
32,lossy,4,393216,14671,378545,26.802262967759525,98304.0,3667.75,94636.25,0
32,lossy,4,458752,19317,439435,23.748615209401045,114688.0,4829.25,109858.75,0
32,lossy,4,409600,14482,395118,28.28338627261428,102400.0,3620.5,98779.5,0
32,lossy,4,229376,7638,221738,30.030898140874573,57344.0,1909.5,55434.5,0
32,lossy,4,180224,7376,172848,24.433839479392624,45056.0,1844.0,43212.0,0
32,lossy,4,81920,3578,78342,22.895472330911122,20480.0,894.5,19585.5,0
32,lossy,4,81920,3677,78243,22.279031819418005,20480.0,919.25,19560.75,0
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,98304,4763,93541,20.63909300860802,24576.0,1190.75,23385.25,0
32,lossy,4,212992,9233,203759,23.068558431712336,53248.0,2308.25,50939.75,0
32,lossy,4,180224,8582,171642,21.000233045910043,45056.0,2145.5,42910.5,0
32,lossy,4,131072,6844,124228,19.151373465809467,32768.0,1711.0,31057.0,0
32,lossy,4,163840,8399,155441,19.5070841766877,40960.0,2099.75,38860.25,0
32,lossy,4,81920,4977,76943,16.459714687562787,20480.0,1244.25,19235.75,0
32,lossy,4,409600,18572,391028,22.054706009045876,102400.0,4643.0,97757.0,0
32,lossy,4,409600,18259,391341,22.432772879128102,102400.0,4564.75,97835.25,0
32,lossy,4,409600,18316,391284,22.362961345271895,102400.0,4579.0,97821.0,0
32,lossy,4,475136,22439,452697,21.174562146263202,118784.0,5609.75,113174.25,0
32,lossy,4,163840,8490,155350,19.297997644287396,40960.0,2122.5,38837.5,0
32,lossy,4,262144,13250,248894,19.78445283018868,65536.0,3312.5,62223.5,0
32,lossy,4,98304,5667,92637,17.346744309158286,24576.0,1416.75,23159.25,0
32,lossy,4,81920,4716,77204,17.370653095843934,20480.0,1179.0,19301.0,0
32,lossy,4,81920,4787,77133,17.11301441403802,20480.0,1196.75,19283.25,0
32,lossy,4,65536,3905,61631,16.78258642765685,16384.0,976.25,15407.75,0
32,lossy,4,245760,13240,232520,18.561933534743204,61440.0,3310.0,58130.0,0
32,lossy,4,442368,20436,421932,21.646506165590136,110592.0,5109.0,105483.0,0
32,lossy,4,425984,20644,405340,20.634760705289672,106496.0,5161.0,101335.0,0
32,lossy,4,425984,21995,403989,19.367310752443736,106496.0,5498.75,100997.25,0
32,lossy,4,425984,21089,404895,20.199345630423444,106496.0,5272.25,101223.75,0
32,lossy,4,425984,21467,404517,19.843667023803977,106496.0,5366.75,101129.25,0
32,lossy,4,409600,22878,386722,17.903662907596818,102400.0,5719.5,96680.5,0
32,lossy,4,442368,25803,416565,17.144053017091036,110592.0,6450.75,104141.25,0
32,lossy,4,393216,25246,367970,15.57537827774697,98304.0,6311.5,91992.5,0
32,lossy,4,409600,25952,383648,15.782983970406905,102400.0,6488.0,95912.0,0
32,lossy,4,376832,22784,354048,16.53932584269663,94208.0,5696.0,88512.0,0
32,lossy,4,360448,20256,340192,17.794628751974724,90112.0,5064.0,85048.0,0
32,lossy,4,344064,21513,322551,15.99330637289081,86016.0,5378.25,80637.75,0
32,lossy,4,262144,16812,245332,15.59267190102308,65536.0,4203.0,61333.0,0
32,lossy,4,311296,19183,292113,16.22770161080123,77824.0,4795.75,73028.25,0
32,lossy,4,81920,6008,75912,13.635153129161118,20480.0,1502.0,18978.0,0
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,360448,18888,341560,19.08343922066921,90112.0,4722.0,85390.0,0
32,lossy,4,393216,21139,372077,18.60144756137944,98304.0,5284.75,93019.25,0
32,lossy,4,393216,20330,372886,19.34166256763404,98304.0,5082.5,93221.5,0
32,lossy,4,311296,19015,292281,16.371075466736787,77824.0,4753.75,73070.25,0
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,4,327680,17542,310138,18.67974005244556,81920.0,4385.5,77534.5,0
32,lossy,4,16384,1805,14579,9.077008310249308,4096.0,451.25,3644.75,0
32,lossy,4,278528,14894,263634,18.7006848395327,69632.0,3723.5,65908.5,0
32,lossy,4,49152,4266,44886,11.521800281293952,12288.0,1066.5,11221.5,0
32,lossy,4,262144,15494,246650,16.919065444688265,65536.0,3873.5,61662.5,0
32,lossy,4,196608,12564,184044,15.648519579751671,49152.0,3141.0,46011.0,0
32,lossy,4,245760,17377,228383,14.142832479714565,61440.0,4344.25,57095.75,0
32,lossy,4,311296,21264,290032,14.639578630549286,77824.0,5316.0,72508.0,0
32,lossy,4,360448,21556,338892,16.721469660419373,90112.0,5389.0,84723.0,0
32,lossy,4,229376,13203,216173,17.373021283041734,57344.0,3300.75,54043.25,0
32,lossy,4,180224,11480,168744,15.698954703832753,45056.0,2870.0,42186.0,0
32,lossy,4,409600,23658,385942,17.313382365373236,102400.0,5914.5,96485.5,0
32,lossy,4,409600,22351,387249,18.325801977540156,102400.0,5587.75,96812.25,0
32,lossy,4,196608,12690,183918,15.493144208037824,49152.0,3172.5,45979.5,0
32,lossy,4,311296,17409,293887,17.88132575104831,77824.0,4352.25,73471.75,0
32,lossy,4,245760,16429,229331,14.95891411528395,61440.0,4107.25,57332.75,0
32,lossy,4,212992,12684,200308,16.79217912330495,53248.0,3171.0,50077.0,0
32,lossy,4,327680,20487,307193,15.994533118562991,81920.0,5121.75,76798.25,0
32,lossy,4,409600,23668,385932,17.30606726381612,102400.0,5917.0,96483.0,0
32,lossy,4,409600,22817,386783,17.951527369943463,102400.0,5704.25,96695.75,0
32,lossy,4,344064,22318,321746,15.416435164441259,86016.0,5579.5,80436.5,0
32,lossy,4,425984,23570,402414,18.0731438268986,106496.0,5892.5,100603.5,0
32,lossy,4,475136,25865,449271,18.36984341774599,118784.0,6466.25,112317.75,0
32,lossy,4,294912,18939,275973,15.57167749089181,73728.0,4734.75,68993.25,0
32,lossy,4,360448,22992,337456,15.677105080027836,90112.0,5748.0,84364.0,0
32,lossy,4,196608,10692,185916,18.388327721661057,49152.0,2673.0,46479.0,0
32,lossy,4,196608,11669,184939,16.848744536806926,49152.0,2917.25,46234.75,0
32,lossy,4,507904,27147,480757,18.7093969867757,126976.0,6786.75,120189.25,0
32,lossy,4,327680,21385,306295,15.322889876081366,81920.0,5346.25,76573.75,0
32,lossy,4,507904,27146,480758,18.7100862005452,126976.0,6786.5,120189.5,0
32,lossy,4,360448,22666,337782,15.902585370157945,90112.0,5666.5,84445.5,0
32,lossy,4,262144,16388,245756,15.996094703441543,65536.0,4097.0,61439.0,0
32,lossy,4,589824,31536,558288,18.703196347031962,147456.0,7884.0,139572.0,0
32,lossy,4,212992,11788,201204,18.068544282321003,53248.0,2947.0,50301.0,0
32,lossy,4,49152,3598,45554,13.660922734852695,12288.0,899.5,11388.5,0
32,lossy,4,245760,13911,231849,17.666594781108476,61440.0,3477.75,57962.25,0
32,lossy,4,229376,13152,216224,17.440389294403893,57344.0,3288.0,54056.0,0
32,lossy,4,311296,17443,293853,17.846471363870894,77824.0,4360.75,73463.25,0
32,lossy,4,131072,8486,122586,15.445675229790243,32768.0,2121.5,30646.5,0
32,lossy,4,229376,12128,217248,18.91292875989446,57344.0,3032.0,54312.0,0
32,lossy,4,311296,15773,295523,19.73600456476257,77824.0,3943.25,73880.75,0
32,lossy,4,147456,8952,138504,16.471849865951743,36864.0,2238.0,34626.0,0
32,lossy,4,212992,12089,200903,17.618661593183887,53248.0,3022.25,50225.75,0
32,lossy,4,327680,15812,311868,20.723501138375916,81920.0,3953.0,77967.0,0
32,lossy,4,327680,15900,311780,20.60880503144654,81920.0,3975.0,77945.0,0
32,lossy,4,196608,10343,186265,19.008798221019045,49152.0,2585.75,46566.25,0
32,lossy,4,344064,15423,328641,22.308500291772027,86016.0,3855.75,82160.25,0
32,lossy,4,229376,10197,219179,22.49445915465333,57344.0,2549.25,54794.75,0
32,lossy,4,311296,14104,297192,22.071469086783893,77824.0,3526.0,74298.0,0
32,lossy,4,98304,4552,93752,21.59578207381371,24576.0,1138.0,23438.0,0
32,lossy,4,147456,7071,140385,20.853627492575306,36864.0,1767.75,35096.25,0
32,lossy,4,212992,9476,203516,22.47699451245251,53248.0,2369.0,50879.0,0
32,lossy,4,245760,11230,234530,21.884238646482636,61440.0,2807.5,58632.5,0
32,lossy,4,262144,12762,249382,20.540981037454944,65536.0,3190.5,62345.5,0
32,lossy,4,344064,14463,329601,23.789255341215515,86016.0,3615.75,82400.25,0
32,lossy,4,245760,11205,234555,21.933065595716197,61440.0,2801.25,58638.75,0
32,lossy,4,180224,9433,170791,19.105692780663627,45056.0,2358.25,42697.75,0
32,lossy,4,196608,9686,186922,20.29816229609746,49152.0,2421.5,46730.5,0
32,lossy,4,65536,3868,61668,16.943123061013445,16384.0,967.0,15417.0,0
32,lossy,4,0,8,-8,0.0,0.0,2.0,-2.0,1
32,lossy,3,479232,31900,447332,15.02294670846395,159744.0,10633.333333333334,149110.66666666666,0
32,lossy,3,540672,35261,505411,15.333427866481381,180224.0,11753.666666666666,168470.33333333334,0
32,lossy,3,552960,36866,516094,14.99918624206586,184320.0,12288.666666666666,172031.33333333334,0
32,lossy,3,724992,41764,683228,17.359256776170866,241664.0,13921.333333333334,227742.66666666666,0
32,lossy,3,565248,36450,528798,15.507489711934156,188416.0,12150.0,176266.0,0
32,lossy,3,577536,37695,539841,15.321289295662554,192512.0,12565.0,179947.0,0
32,lossy,3,565248,37463,527785,15.088166991431546,188416.0,12487.666666666666,175928.33333333334,0
32,lossy,3,565248,38651,526597,14.624408165377352,188416.0,12883.666666666666,175532.33333333334,0
32,lossy,3,602112,41169,560943,14.625373460613568,200704.0,13723.0,186981.0,0
32,lossy,3,614400,42335,572065,14.512814456123774,204800.0,14111.666666666666,190688.33333333334,0
32,lossy,3,614400,42064,572336,14.606314187904147,204800.0,14021.333333333334,190778.66666666666,0
32,lossy,3,626688,43379,583309,14.44680605823094,208896.0,14459.666666666666,194436.33333333334,0
32,lossy,3,638976,44635,594341,14.315581942421867,212992.0,14878.333333333334,198113.66666666666,0
32,lossy,3,626688,42713,583975,14.672067052185517,208896.0,14237.666666666666,194658.33333333334,0
32,lossy,3,638976,43376,595600,14.731095536702323,212992.0,14458.666666666666,198533.33333333334,0
32,lossy,3,638976,43794,595182,14.590491848198383,212992.0,14598.0,198394.0,0
32,lossy,3,626688,44225,582463,14.170446579988694,208896.0,14741.666666666666,194154.33333333334,0
32,lossy,3,626688,45219,581469,13.858953094937968,208896.0,15073.0,193823.0,0
32,lossy,3,638976,45294,593682,14.107298979997351,212992.0,15098.0,197894.0,0
32,lossy,3,638976,44172,594804,14.465634338494974,212992.0,14724.0,198268.0,0
32,lossy,3,638976,44399,594577,14.39167548818667,212992.0,14799.666666666666,198192.33333333334,0
32,lossy,3,626688,43737,582951,14.328554770560395,208896.0,14579.0,194317.0,0
32,lossy,3,638976,45477,593499,14.050531037667392,212992.0,15159.0,197833.0,0
32,lossy,3,614400,43420,570980,14.15016121602948,204800.0,14473.333333333334,190326.66666666666,0
32,lossy,3,638976,44323,594653,14.416352683708233,212992.0,14774.333333333334,198217.66666666666,0
32,lossy,3,638976,43923,595053,14.547640188511714,212992.0,14641.0,198351.0,0
32,lossy,3,638976,43649,595327,14.63896080093473,212992.0,14549.666666666666,198442.33333333334,0
32,lossy,3,638976,45305,593671,14.103873744619799,212992.0,15101.666666666666,197890.33333333334,0
32,lossy,3,626688,44905,581783,13.95586237612738,208896.0,14968.333333333334,193927.66666666666,0
32,lossy,3,651264,46516,604748,14.000859919167599,217088.0,15505.333333333334,201582.66666666666,0
32,lossy,3,651264,46016,605248,14.15299026425591,217088.0,15338.666666666666,201749.33333333334,0
32,lossy,3,602112,42400,559712,14.200754716981132,200704.0,14133.333333333334,186570.66666666666,0
32,lossy,3,614400,41337,573063,14.863197619566007,204800.0,13779.0,191021.0,0
32,lossy,3,516096,36838,479258,14.009881101036973,172032.0,12279.333333333334,159752.66666666666,0
32,lossy,3,626688,44764,581924,13.99982128496113,208896.0,14921.333333333334,193974.66666666666,0
32,lossy,3,589824,44913,544911,13.132589673368512,196608.0,14971.0,181637.0,0
32,lossy,3,503808,37317,466491,13.5007637269877,167936.0,12439.0,155497.0,0
