Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
8,lossy,4,2097152,40610,2056542,51.64127062299926,524288.0,10152.5,514135.5,0
8,lossy,4,393216,9361,383855,42.005768614464266,98304.0,2340.25,95963.75,0
8,lossy,4,655360,16143,639217,40.597162856965866,163840.0,4035.75,159804.25,0
8,lossy,4,360448,7714,352734,46.72647135079077,90112.0,1928.5,88183.5,0
8,lossy,4,376832,8097,368735,46.539706063974315,94208.0,2024.25,92183.75,0
8,lossy,4,491520,11682,479838,42.07498715973292,122880.0,2920.5,119959.5,0
8,lossy,4,393216,9200,384016,42.740869565217395,98304.0,2300.0,96004.0,0
8,lossy,4,393216,10178,383038,38.633916290037334,98304.0,2544.5,95759.5,0
8,lossy,4,393216,9933,383283,39.586831772878284,98304.0,2483.25,95820.75,0
8,lossy,4,393216,7788,385428,50.48998459167951,98304.0,1947.0,96357.0,0
8,lossy,4,376832,8425,368407,44.72783382789318,94208.0,2106.25,92101.75,0
8,lossy,4,360448,10011,350437,36.00519428628509,90112.0,2502.75,87609.25,0
8,lossy,4,393216,8969,384247,43.841676887055414,98304.0,2242.25,96061.75,0
8,lossy,4,393216,11588,381628,33.93303417328271,98304.0,2897.0,95407.0,0
8,lossy,4,393216,9150,384066,42.9744262295082,98304.0,2287.5,96016.5,0
8,lossy,4,409600,12963,396637,31.597624006788553,102400.0,3240.75,99159.25,0
8,lossy,4,393216,11025,382191,35.66585034013605,98304.0,2756.25,95547.75,0
8,lossy,4,393216,11406,381810,34.47448711204629,98304.0,2851.5,95452.5,0
8,lossy,4,376832,9333,367499,40.3762991535412,94208.0,2333.25,91874.75,0
8,lossy,4,393216,8916,384300,44.10228802153432,98304.0,2229.0,96075.0,0
8,lossy,4,376832,11263,365569,33.457515759566725,94208.0,2815.75,91392.25,0
8,lossy,4,376832,9139,367693,41.2333953386585,94208.0,2284.75,91923.25,0
8,lossy,4,360448,9738,350710,37.0145820497022,90112.0,2434.5,87677.5,0
8,lossy,4,344064,9373,334691,36.707991038088124,86016.0,2343.25,83672.75,0
8,lossy,4,344064,10437,333627,32.96579476861167,86016.0,2609.25,83406.75,0
8,lossy,4,327680,8701,318979,37.66003907596828,81920.0,2175.25,79744.75,0
8,lossy,4,344064,10086,333978,34.113027959547885,86016.0,2521.5,83494.5,0
8,lossy,4,311296,10160,301136,30.639370078740157,77824.0,2540.0,75284.0,0
8,lossy,4,327680,10302,317378,31.807416035721218,81920.0,2575.5,79344.5,0
8,lossy,4,393216,9073,384143,43.339138102061064,98304.0,2268.25,96035.75,0
8,lossy,4,294912,8842,286070,33.353539923094324,73728.0,2210.5,71517.5,0
8,lossy,4,344064,9788,334276,35.151614221495706,86016.0,2447.0,83569.0,0
8,lossy,4,344064,11608,332456,29.64024810475534,86016.0,2902.0,83114.0,0
8,lossy,4,294912,9112,285800,32.36523266022827,73728.0,2278.0,71450.0,0
8,lossy,4,294912,9030,285882,32.65913621262458,73728.0,2257.5,71470.5,0
8,lossy,4,294912,10639,284273,27.71989848669988,73728.0,2659.75,71068.25,0
8,lossy,4,425984,12227,413757,34.839617240533244,106496.0,3056.75,103439.25,0
8,lossy,4,344064,10305,333759,33.38806404657933,86016.0,2576.25,83439.75,0
8,lossy,4,425984,11025,414959,38.638004535147395,106496.0,2756.25,103739.75,0
8,lossy,4,425984,11913,414071,35.75791152522454,106496.0,2978.25,103517.75,0
8,lossy,4,360448,13303,347145,27.095241674810193,90112.0,3325.75,86786.25,0
8,lossy,4,425984,14432,411552,29.516629711751662,106496.0,3608.0,102888.0,0
8,lossy,4,409600,14971,394629,27.359561819517733,102400.0,3742.75,98657.25,0
8,lossy,4,393216,12012,381204,32.735264735264735,98304.0,3003.0,95301.0,0
8,lossy,4,491520,13665,477855,35.96926454445664,122880.0,3416.25,119463.75,0
8,lossy,4,606208,16935,589273,35.79616179509891,151552.0,4233.75,147318.25,0
8,lossy,4,442368,15530,426838,28.484739214423698,110592.0,3882.5,106709.5,0
8,lossy,4,442368,15999,426369,27.64972810800675,110592.0,3999.75,106592.25,0
