(0,44.2495,32.4266)
(1,70.5529,46.5637)
(2,70.5119,44.4017)
(3,65.4292,43.0080)
(4,68.9381,46.2912)
(5,70.4865,48.0297)
(6,73.5761,55.0464)
(7,71.1423,49.3765)
(8,62.1721,35.1933)
(9,58.2459,33.6794)
(10,68.0680,48.8068)
(11,65.8054,46.1216)
(12,67.1696,47.1769)
(13,61.8711,45.7318)
(14,64.1126,44.8117)
(15,63.2215,45.7412)
(16,59.5802,45.5444)
(17,64.0384,47.9538)
(18,70.5495,52.2002)
(19,70.4119,52.6176)
(20,65.7691,42.1300)
(21,69.1937,48.6046)
(22,71.4581,52.2604)
(23,69.5246,50.1801)
(24,66.3526,44.1927)
(25,67.8422,44.6132)
(26,69.3090,46.7155)
(27,71.3510,45.7911)
(28,71.5525,47.7206)
(29,72.6832,47.2830)
(30,70.8932,46.8157)
(31,65.7102,39.4792)
(32,69.3093,40.0534)
(33,66.9119,45.0914)
(34,67.1889,45.7804)
(35,65.6908,48.3563)
(36,65.6598,46.6518)
(37,63.3141,46.0217)
(38,67.0390,47.5701)
(39,62.1907,46.5468)
(40,65.8580,43.0323)
(41,62.3570,36.4102)
(42,6.8014,9.5102)
(43,9.7210,8.9878)
(44,10.6043,9.3294)
(45,11.8209,8.6549)
(46,15.2722,9.9067)
(47,73.4105,56.7446)
(48,71.9007,56.9944)
(49,70.0507,52.9141)
(50,71.6684,51.7990)
(51,45.9556,33.9650)
(52,81.0386,68.7700)
(53,45.4799,33.7093)
(54,74.2640,65.6966)
(55,62.1472,42.2032)
(56,75.5305,64.9857)
(57,72.1508,57.0536)
(58,78.8517,65.3278)
(59,82.1270,74.7425)
(60,85.2748,73.1650)
(61,77.9759,55.2329)
(62,77.9090,53.6645)
(63,77.5871,50.9040)
(64,85.6029,72.8701)
(65,69.4471,37.3962)
(66,84.6082,74.0120)
(67,83.0254,72.5460)
(68,87.5423,81.9820)
(69,86.6358,72.2324)
(70,87.8498,75.9137)
(71,87.5102,72.8695)
(72,87.7386,73.4752)
(73,88.3826,74.5292)
(74,87.1769,69.4063)
(75,88.7849,72.3981)
(76,93.7702,89.0299)
(77,92.9383,87.4628)
(78,93.7082,81.9098)
(79,94.9939,90.1519)
(80,92.9757,79.0671)
(81,96.6064,92.6497)
(82,96.6334,93.0421)
(83,97.8022,94.3187)
(84,96.2560,94.1547)
(85,84.2087,70.9783)
(86,56.0785,39.4272)
(87,75.9524,69.2323)
(88,73.9335,68.2409)
(89,73.5379,66.6667)
(90,71.7702,63.0393)
(91,70.2907,58.3349)
(92,70.7617,60.4413)
(93,72.1985,66.2462)
(94,74.2598,65.8907)
(95,72.4218,69.0031)
(96,73.5012,71.5585)
(97,72.0287,68.8889)
(98,73.2935,69.9854)
(99,60.1326,50.2700)
(100,74.2042,71.5406)
(101,79.6394,67.4568)
(102,79.5166,67.6742)
(103,72.4100,66.0041)
(104,72.3376,66.2192)
(105,70.7901,62.0999)
(106,72.2275,66.0846)
(107,72.3985,67.4674)
(108,73.4555,68.3731)
(109,10.3612,12.2255)
(110,11.6631,13.3344)
(111,7.7526,13.1096)
(112,87.7500,74.2311)
(113,88.9041,78.4266)
(114,87.9316,76.6875)
(115,88.2769,76.7185)
(116,86.0097,72.9529)
(117,87.2917,74.7807)
(118,86.5183,74.2246)
(119,88.3547,75.5946)
(120,87.9979,73.9187)
(121,88.3853,74.7520)
(122,87.2848,73.1868)
(123,86.9752,72.9815)
(124,87.2765,73.1266)
(125,86.5997,72.2868)
(126,86.1270,71.5459)
(127,84.8265,67.9295)
(128,84.2006,67.9800)
(129,86.0586,71.5981)
(130,85.2481,69.0613)
(131,86.0823,69.2000)
(132,84.0796,66.8564)
(133,85.0258,68.2282)
(134,83.0809,65.6985)
(135,83.3002,66.4937)
(136,84.2990,68.1152)
(137,84.4956,68.7245)
(138,84.0519,68.0641)
(139,83.3863,67.1142)
(140,80.7047,63.3569)
(141,81.1362,63.4445)
(142,82.1289,65.8478)
(143,87.5323,73.7334)
(144,89.5634,78.4143)
(145,90.4910,81.5143)
(146,91.0579,82.1422)
(147,89.9585,81.0586)
(148,89.6900,79.8689)
(149,88.3647,77.7696)
(150,88.8455,77.8141)
(151,85.2075,71.8807)
(152,90.5341,80.4634)
(153,89.1743,78.2787)
(154,86.6233,76.3258)
(155,87.2547,78.0892)
(156,87.9121,79.9020)
(157,85.4672,74.7489)
(158,84.5187,74.0546)
(159,86.3969,75.9003)
(160,86.0824,75.5067)
(161,86.8896,75.5882)
(162,87.2264,76.1403)
(163,84.9805,74.6294)
(164,90.3785,81.2719)
(165,85.8838,71.1346)
(166,86.8852,72.9555)
(167,90.0623,78.4155)
(168,90.2866,81.0051)
(169,87.8097,77.6524)
(170,89.8837,81.0603)
(171,91.0898,82.8801)
(172,91.1545,83.7328)
(173,89.9517,80.7727)
(174,89.5696,80.2146)
(175,88.7688,79.2449)
(176,87.7322,77.4223)
(177,88.5741,80.8872)
(178,88.0661,79.7735)
(179,88.2669,79.1586)
(180,88.5504,79.8955)
(181,87.7433,77.3321)
(182,87.0913,74.7285)
(183,84.2874,70.2981)
(184,83.1089,68.2884)
(185,87.9161,76.8180)
(186,89.9485,80.3964)
(187,90.3167,80.8099)
(188,89.7276,79.5510)
(189,86.8391,75.3389)
(190,89.5964,80.8603)
(191,86.7249,74.3585)
(192,88.0328,76.9960)
(193,85.3206,70.5065)
(194,82.5352,69.1850)
(195,83.4759,70.6971)
(196,87.2703,75.2183)
(197,84.8546,72.0631)
(198,82.9317,68.9338)
(199,84.9257,71.5628)
(200,84.3305,69.9878)
(201,84.8006,71.9056)
(202,86.9166,76.1463)
(203,85.3768,72.2173)
(204,82.8881,67.4798)
(205,83.3216,67.7795)
(206,82.5599,65.9876)
(207,82.0794,65.5963)
(208,83.2004,68.5490)
(209,81.5046,65.1749)
(210,75.6497,59.5901)
(211,77.8748,60.6120)
(212,74.7235,57.1829)
(213,77.6069,60.2464)
(214,78.8213,59.2495)
(215,75.9070,58.2028)
(216,74.0448,54.0878)
(217,77.0206,58.6813)
(218,78.1030,60.9056)
(219,74.6500,55.2263)
(220,72.9616,51.2413)
(221,72.4730,51.2010)
(222,71.9279,51.0923)
(223,73.4487,52.3952)
(224,78.4101,59.5238)
(225,81.3182,64.2869)
(226,77.7273,57.9181)
(227,73.7922,52.2944)
(228,73.0915,46.9474)
(229,76.2358,53.1652)
(230,74.2686,54.1890)
(231,76.5213,58.5530)
(232,75.7587,56.2053)
(233,75.9274,55.1856)
(234,76.5392,55.6183)
(235,77.5192,57.5409)
(236,74.8020,54.7112)
(237,76.5330,55.9503)
(238,77.0046,56.9620)
(239,74.9640,54.5903)
(240,73.2396,52.5566)
(241,72.6030,53.5023)
(242,70.8794,52.4835)
(243,71.4259,53.3138)
(244,71.4575,52.1804)
(245,70.4813,49.7969)
(246,75.4594,56.1057)
(247,74.5059,55.4022)
(248,73.7203,54.0410)
(249,74.7102,55.9975)
(250,75.4235,56.8761)
(251,74.1875,53.2355)
(252,75.4970,56.7807)
(253,74.0068,54.8775)
(254,69.8778,47.6758)
(255,67.8188,44.6954)
(256,67.7643,45.2371)
(257,67.7222,44.2652)
(258,67.6341,44.8112)
(259,68.1436,46.0904)
(260,70.5934,50.1859)
(261,71.3608,51.7335)
(262,73.6461,55.4483)
(263,71.7307,52.8430)
(264,71.8472,54.5080)
(265,79.2943,64.8029)
(266,74.0759,55.7431)
(267,68.3080,45.6251)
(268,70.6332,48.9888)
(269,32.9055,24.6382)
(270,35.6263,25.1010)
(271,32.5668,23.6433)
(272,37.5885,25.8261)
(273,31.4870,28.4409)
(274,32.7459,30.6134)
(275,31.9959,24.5587)
(276,33.9911,27.8590)
(277,35.4825,30.6656)
(278,34.8417,28.4252)
(279,36.1303,31.5655)
(280,34.2403,31.9843)
(281,35.6386,32.2713)
(282,38.6517,30.5656)
(283,37.9893,31.4556)
(284,36.7642,29.9195)
(285,35.0788,30.6562)
(286,33.9682,29.9606)
(287,33.6043,26.9963)
(288,34.6849,25.2202)
(289,37.1842,26.4803)
(290,36.6427,27.1674)
(291,33.3111,27.0857)
(292,35.5209,25.4974)
(293,32.1783,25.4379)
(294,32.4189,24.8329)
(295,34.5534,25.9412)
(296,33.9699,27.1958)
(297,32.9173,22.6265)
(298,30.2912,23.2489)
(299,30.0131,21.9720)
(300,29.2558,21.3691)
(301,28.1018,20.0453)
(302,27.4809,22.3488)
(303,24.0296,18.9620)
(304,24.3763,17.4691)
