(0,58.4457)
(1,58.0046)
(2,44.2735)
(3,38.4288)
(4,20.9444)
(5,12.9115)
(6,61.6086)
(7,61.1969)
(8,61.9472)
(9,58.5282)
(10,60.3357)
(11,60.0082)
(12,60.1723)
(13,59.0714)
(14,57.4803)
(15,62.6284)
(16,62.9296)
(17,60.9382)
(18,62.6397)
(19,59.6398)
(20,65.1001)
(21,62.6706)
(22,63.0670)
(23,64.9009)
(24,64.6727)
(25,60.9932)
(26,21.9779)
(27,61.1390)
(28,49.8691)
(29,57.0717)
(30,52.8748)
(31,53.9584)
(32,42.3800)
(33,55.4145)
(34,50.2806)
(35,53.9666)
(36,55.6034)
(37,54.2053)
(38,57.9509)
(39,61.5830)
(40,64.8993)
(41,65.6330)
(42,66.2528)
(43,67.2242)
(44,39.0150)
(45,71.5023)
(46,73.5660)
(47,75.5729)
(48,70.4887)
(49,74.6941)
(50,75.6663)
(51,75.7925)
(52,76.8891)
(53,76.2937)
(54,73.8491)
(55,75.5122)
(56,76.6683)
(57,76.0351)
(58,72.7057)
(59,73.2306)
(60,74.7956)
(61,73.1650)
(62,74.3750)
(63,64.7815)
(64,58.8911)
(65,68.1604)
(66,68.5783)
(67,69.2639)
(68,68.7410)
(69,68.9489)
(70,67.9500)
(71,68.2059)
(72,67.9493)
(73,67.8082)
(74,66.9967)
(75,74.6947)
(76,74.1795)
(77,69.9352)
(78,66.5786)
(79,65.4080)
(80,69.0508)
(81,69.2899)
(82,47.4446)
(83,72.4672)
(84,73.0806)
(85,8.8743)
(86,22.3081)
(87,38.1433)
(88,5.6124)
(89,5.4814)
(90,33.5769)
(91,6.5602)
(92,5.2286)
(93,6.4783)
(94,17.5832)
(95,43.1537)
(96,16.0588)
(97,8.9141)
(98,45.8284)
(99,21.3476)
(100,36.7674)
(101,35.8992)
(102,23.5618)
(103,58.6549)
(104,59.9532)
(105,49.8905)
(106,9.5201)
(107,47.3781)
(108,29.0070)
(109,9.8830)
(110,3.4508)
(111,3.4485)
(112,49.3520)
(113,44.0395)
(114,41.7241)
(115,51.8624)
(116,48.5083)
(117,45.0361)
(118,48.6857)
(119,48.2818)
(120,50.2294)
(121,38.5430)
(122,45.4824)
(123,53.1611)
(124,43.4555)
(125,49.2301)
(126,49.9771)
(127,40.5421)
(128,45.5349)
(129,46.2595)
(130,25.6918)
(131,29.0692)
(132,50.7218)
(133,50.7670)
(134,51.0836)
(135,50.7344)
(136,56.0401)
(137,58.1208)
